BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,NetworkName,NetworkId,NetworkURL,RowNumber,MarketCoverage,DentalOnlyPlan
2014,IL,36096,SERFF,10,2014-01-22 11:51:12,36096,IL,PPO,ILN001,https://public.hcsc.net/providerfinder/search.do?corpEntCd=IL1,13,Individual,False
2014,IL,36096,SERFF,10,2014-01-22 11:51:12,36096,IL,Blue Choice PPO,ILN002,https://public.hcsc.net/providerfinder/search.do?corpEntCd=IL1,14,SHOP (Small Group),False
2014,IL,36096,SERFF,10,2014-01-22 11:51:12,36096,IL,Blue Choice PPO,ILN002,https://public.hcsc.net/providerfinder/search.do?corpEntCd=IL1,14,Individual,False
2014,IL,36096,SERFF,10,2014-01-22 11:51:12,36096,IL,Blue Precision HMO,ILN003,https://public.hcsc.net/providerfinder/search.do?corpEntCd=IL1,15,SHOP (Small Group),False
2014,IL,36096,SERFF,10,2014-01-22 11:51:12,36096,IL,Blue Precision HMO,ILN003,https://public.hcsc.net/providerfinder/search.do?corpEntCd=IL1,15,Individual,False
2014,IL,46552,SERFF,1,2013-08-01 21:15:43,46552,IL,Renaissance Dental,ILN001,www.renaissancedental.com/Find-a-Dentist,13,SHOP (Small Group),True
2014,IL,46552,SERFF,1,2013-08-01 21:15:43,46552,IL,Renaissance Dental,ILN001,www.renaissancedental.com/Find-a-Dentist,13,Individual,True
2014,IL,46552,SERFF,1,2013-08-01 21:15:43,46552,IL,Delta Dental,ILN002,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl,14,Individual,True
2014,IL,58288,SERFF,3,2013-09-02 14:52:56,58288,IL,NorthShore Complete Care HMOx,ILN001,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=729,13,Individual,False
2014,IL,58288,SERFF,3,2013-09-02 14:52:56,58288,IL,Chicago HMOx,ILN002,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=793,14,Individual,False
2014,IL,58288,SERFF,3,2013-09-02 14:52:56,58288,IL,Springfield HMOx,ILN003,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=797,15,Individual,False
2014,IL,58288,SERFF,3,2013-09-02 14:52:56,58288,IL,Rockford Peoria HMOx,ILN004,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=757,16,Individual,False
2014,IL,60600,SERFF,4,2013-09-19 10:34:04,60600,IL,Delta Dental PPO,ILN001,www.deltadentalilexchange.com/dentist-search,13,Individual,True
2014,IL,60600,SERFF,4,2013-09-19 10:34:04,60600,IL,Delta Dental PPO,ILN001,www.deltadentalilexchange.com/dentist-search,13,SHOP (Small Group),True
2014,IL,68303,SERFF,4,2014-01-22 11:51:12,68303,IL,ChoicePOS,ILN001,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=385,13,Individual,False
2014,IL,68303,SERFF,3,2013-09-02 14:52:56,68303,IL,Humana Dental PPO/Traditional Peferred,ILN001,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1085&pfpkey=317&provtype=6,13,Individual,True
2014,IL,68303,SERFF,4,2014-01-22 11:51:12,68303,IL,Humana Dental PPO/Traditional Preferred,ILN002,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,13,Individual,True
2014,IL,72547,SERFF,6,2013-09-19 10:34:04,72547,IL,QHP PPO_OAMC_Chicago Illinois,ILN001,http://www.aetna.com/individuals-families-health-insurance/buy-insurance/exchange/il.html,13,Individual,False
2014,SD,31195,SERFF,2,2013-09-19 10:34:04,31195,SD,Sanford Health Plan South Dakota Network,SDN001,https://www.viiad.com/shp/provider_search_main.asp,13,Individual,False
2014,SD,60536,SERFF,4,2013-09-16 08:58:26,60536,SD,Avera Health Plans,SDN001,www.Avera.org/ProviderDirectory,13,SHOP (Small Group),False
2014,SD,60536,SERFF,4,2013-09-16 08:58:26,60536,SD,Avera Health Plans,SDN001,www.Avera.org/ProviderDirectory,13,Individual,False
2014,SD,61214,SERFF,6,2014-01-24 09:49:15,61214,SD,DenteMax,SDN001,http://www2.dentemax.com/,13,SHOP (Small Group),True
2014,SD,61214,SERFF,6,2014-01-24 09:49:15,61214,SD,DenteMax,SDN001,http://www2.dentemax.com/,13,Individual,True
2014,SD,62210,SERFF,8,2014-06-23 15:22:56,62210,SD,DAKOTACARE,SDN001,http://www.dakotacare.com/locateourproviders/providerdirectory/,13,Individual,False
2014,SD,62210,SERFF,8,2014-06-23 15:22:56,62210,SD,DAKOTACARE,SDN001,http://www.dakotacare.com/locateourproviders/providerdirectory/,13,SHOP (Small Group),False
2014,SD,80261,SERFF,1,2013-08-01 21:15:43,80261,SD,Lincoln Dental Connect,SDN001,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,SHOP (Small Group),True
2014,SD,80608,SERFF,3,2013-09-16 08:58:26,80608,SD,DentalGuard Preferred,SDN001,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,SHOP (Small Group),True
2014,UT,14948,SERFF,3,2013-10-15 10:04:03,14948,UT,DeltaCare USA DHMO,UTN001,http://www.deltadentalins.com/find-a-dentist/,13,SHOP (Small Group),True
2014,UT,14948,SERFF,3,2013-10-15 10:04:03,14948,UT,DeltaCare USA DHMO,UTN001,http://www.deltadentalins.com/find-a-dentist/,13,Individual,True
2014,UT,18167,SERFF,5,2014-07-30 17:22:07,18167,UT,Molina Healthcare of Utah,UTN001,http://www.molinahealthcare.com/providersearch,13,Individual,False
2014,UT,27619,SERFF,7,2014-01-24 09:49:15,27619,UT,Arches Horizon Network,UTN001,http://www.archeshealth.org/providernetwork,13,Individual,False
2014,UT,27619,SERFF,7,2014-01-24 09:49:15,27619,UT,Arches Horizon Network,UTN001,http://www.archeshealth.org/providernetwork,13,SHOP (Small Group),False
2014,UT,34541,SERFF,3,2014-01-14 14:20:21,34541,UT,Exchange Network,UTN001,www.bridgespanhealth.com,13,Individual,False
2014,UT,38927,SERFF,7,2013-10-16 19:58:29,38927,UT,Altius Peak Preference Network,UTN001,http://ut.coventryproviders.com,13,Individual,False
2014,UT,38927,SERFF,7,2013-10-16 19:58:29,38927,UT,Altius Network,UTN002,http://ut.coventryproviders.com,14,Individual,False
2014,UT,40335,SERFF,2,2013-10-15 10:04:03,40335,UT,Premier,UTN001,emihealth.com,13,Individual,True
2014,UT,40335,SERFF,2,2013-10-15 10:04:03,40335,UT,Advantage,UTN002,emihealth.com,14,Individual,True
